No.                  Date/Time           Status           Location ID 
700724               22/12/2020 16:11    C/In             109         
700724               23/12/2020 03:09    C/Out            109         
700724               23/12/2020 16:21    C/In             109         
700743               22/12/2020 08:06    C/In             109         
700743               22/12/2020 08:06    C/In             109         
700743               22/12/2020 08:16    C/In             110         
700743               22/12/2020 22:57    C/Out            109         
700743               22/12/2020 22:57    C/Out            109         
700743               22/12/2020 22:57    C/Out            109         
700743               23/12/2020 08:09    OverTime In      109         
700743               23/12/2020 08:09    OverTime In      109         
700743               23/12/2020 08:10    C/In             110         
700743               23/12/2020 08:10    C/In             110         
700743               23/12/2020 21:01    C/In             110         
700743               23/12/2020 21:01    C/In             110         
700743               23/12/2020 21:02    C/Out            109         
700756               23/12/2020 08:39    C/Out            111         
700756               23/12/2020 08:39    C/Out            111         
700756               23/12/2020 13:04    C/Out            111         
700756               23/12/2020 20:36    C/Out            111         
700756               23/12/2020 20:36    C/Out            111         
700760               23/12/2020 07:01    C/Out            112         
700760               23/12/2020 07:49    C/In             112         
700771               22/12/2020 09:15    C/In             109         
700771               22/12/2020 18:26    C/In             109         
700771               23/12/2020 09:40    OverTime In      109         
700771               23/12/2020 20:13    C/In             109         
700774               22/12/2020 08:33    C/In             110         
700774               22/12/2020 18:03    C/In             110         
700774               23/12/2020 08:21    C/In             110         
700774               23/12/2020 18:24    C/In             109         
700777               22/12/2020 09:01    C/In             108         
700777               22/12/2020 18:43    C/Out            108         
700777               23/12/2020 08:59    C/In             108         
700777               23/12/2020 20:59    C/Out            108         
700785               22/12/2020 01:04    C/Out            109         
700785               22/12/2020 01:04    C/Out            109         
700785               22/12/2020 14:25    C/In             109         
700785               22/12/2020 14:25    C/In             109         
700785               23/12/2020 02:00    C/Out            109         
700785               23/12/2020 02:00    C/Out            109         
700785               23/12/2020 14:28    OverTime In      109         
700785               23/12/2020 14:29    OverTime In      109         
700785               23/12/2020 23:58    C/Out            109         
700793               22/12/2020 08:32    C/In             109         
700793               22/12/2020 08:32    C/In             109         
700793               22/12/2020 18:49    C/Out            109         
700793               22/12/2020 23:05    C/Out            109         
700793               23/12/2020 08:26    OverTime In      109         
700793               23/12/2020 08:26    OverTime In      109         
700793               23/12/2020 20:44    C/In             109         
700793               23/12/2020 20:44    C/In             109         
700798               22/12/2020 01:04    C/Out            109         
700798               22/12/2020 01:05    C/Out            109         
700798               22/12/2020 14:22    C/In             109         
700798               22/12/2020 14:22    C/In             109         
700798               23/12/2020 02:00    C/Out            109         
700798               23/12/2020 02:00    C/Out            109         
700798               23/12/2020 14:25    OverTime In      109         
700798               23/12/2020 14:25    OverTime In      109         
700798               23/12/2020 23:58    C/Out            109         
700798               23/12/2020 23:59    C/Out            109         
700958               22/12/2020 08:28    C/In             109         
700958               22/12/2020 08:28    C/In             109         
700958               22/12/2020 17:11    C/In             109         
700958               22/12/2020 17:11    C/In             109         
700958               23/12/2020 08:23    OverTime In      109         
700958               23/12/2020 08:24    OverTime In      109         
700958               23/12/2020 17:06    C/In             109         
700958               23/12/2020 17:06    C/In             109         
700962               22/12/2020 07:56    C/Out            109         
700962               22/12/2020 18:48    C/Out            109         
700962               23/12/2020 07:50    OverTime In      109         
700962               23/12/2020 18:33    C/In             109         
700963               22/12/2020 08:21    C/In             109         
700963               22/12/2020 08:22    C/In             109         
700963               22/12/2020 18:39    C/In             110         
700963               22/12/2020 18:39    C/In             110         
700963               23/12/2020 08:14    OverTime In      109         
700963               23/12/2020 20:07    C/In             109         
700969               22/12/2020 08:41    C/In             112         
700969               23/12/2020 08:44    C/In             112         
700969               23/12/2020 12:50    C/In             112         
700969               23/12/2020 19:49    C/In             112         
700969               23/12/2020 19:49    C/Out            111         
701069               22/12/2020 07:57    C/In             108         
701069               22/12/2020 07:57    C/In             108         
701069               22/12/2020 19:51    C/Out            108         
701069               22/12/2020 19:51    C/Out            108         
701075               23/12/2020 07:52    C/In             112         
701075               23/12/2020 11:11    C/In             112         
701075               23/12/2020 11:24    C/In             112         
701075               23/12/2020 13:16    C/In             112         
701075               23/12/2020 19:52    C/In             112         
701082               22/12/2020 02:11    C/Out            109         
701082               22/12/2020 02:11    C/Out            109         
701082               22/12/2020 16:51    C/In             109         
701082               23/12/2020 02:36    C/Out            109         
701082               23/12/2020 02:36    C/Out            109         
701082               23/12/2020 17:03    C/In             109         
701082               23/12/2020 17:03    C/In             109         
701082               24/12/2020 01:21    C/Out            109         
701082               24/12/2020 01:21    C/Out            109         
701086               22/12/2020 08:58    C/In             108         
701086               22/12/2020 19:02    C/Out            108         
701086               23/12/2020 09:11    C/In             108         
701086               23/12/2020 19:56    C/Out            108         
701088               22/12/2020 05:55    C/Out            112         
701141               22/12/2020 09:28    C/In             112         
701141               22/12/2020 12:06    C/In             111         
701141               23/12/2020 09:02    C/In             112         
701141               23/12/2020 18:31    C/In             112         
701155               22/12/2020 08:45    C/In             108         
701155               22/12/2020 08:45    C/In             108         
701155               22/12/2020 18:57    C/Out            108         
701155               22/12/2020 18:57    C/Out            108         
701155               23/12/2020 08:39    OverTime In      109         
701155               23/12/2020 08:39    OverTime In      109         
701155               23/12/2020 19:36    C/Out            108         
701155               23/12/2020 19:36    C/Out            108         
701159               22/12/2020 08:21    C/In             109         
701159               22/12/2020 08:21    C/In             109         
701159               22/12/2020 08:21    C/In             109         
701159               22/12/2020 18:40    C/Out            109         
701159               22/12/2020 18:40    C/Out            109         
701159               23/12/2020 08:16    OverTime In      109         
701159               23/12/2020 08:16    OverTime In      109         
701159               23/12/2020 08:16    OverTime In      109         
701159               23/12/2020 20:45    C/Out            109         
701159               23/12/2020 20:45    C/Out            109         
701160               22/12/2020 07:57    C/Out            109         
701160               22/12/2020 07:57    C/In             109         
701160               22/12/2020 19:36    C/Out            109         
701160               23/12/2020 08:30    OverTime In      109         
701160               23/12/2020 08:30    OverTime In      109         
701160               23/12/2020 20:45    C/In             109         
701160               23/12/2020 20:45    C/Out            109         
701167               22/12/2020 08:53    C/In             108         
701167               22/12/2020 08:53    C/In             108         
701167               22/12/2020 23:32    C/Out            108         
701167               22/12/2020 23:32    C/Out            108         
701167               23/12/2020 08:50    C/In             108         
701167               23/12/2020 08:59    C/In             108         
701178               22/12/2020 08:32    C/In             108         
701178               22/12/2020 19:03    C/Out            108         
701178               23/12/2020 08:50    C/In             108         
701178               23/12/2020 22:21    C/Out            108         
701179               22/12/2020 07:02    C/In             108         
701179               22/12/2020 07:03    C/In             108         
701179               22/12/2020 22:25    C/Out            108         
701179               22/12/2020 22:25    C/Out            108         
701179               23/12/2020 07:33    C/Out            108         
701179               23/12/2020 07:34    C/In             108         
701179               23/12/2020 07:34    C/In             108         
701179               23/12/2020 21:09    C/Out            108         
701179               23/12/2020 21:09    C/Out            108         
701203               22/12/2020 08:10    C/In             109         
701203               22/12/2020 08:10    C/In             109         
701203               22/12/2020 18:03    C/In             109         
701203               22/12/2020 18:03    C/In             109         
